Name, Events, Unique Decks, Total Points, Average Points, Winrate, Trophies, Top Cuts, 2-X or better Count, Longest Positive Record Streak, Most Played Decks
Impulse, 25, 8, 257, 10.28, 0.89, 15, 16, 24, 17, "Jeskai Midrange, Jeskai Control, Czech Scapeshift"
JWyatt, 20, 6, 114, 5.70, 0.62, 0, 1, 17, 8, "Grixis Thoracle, Czech Scapeshift, UBRG Thoracle"
kelvin, 26, 12, 128, 4.92, 0.54, 1, 1, 15, 3, "Flash Hulk, Lotusless Breach Storm, Red Deck Wins"
GenghisPrawn, 24, 7, 129, 5.38, 0.56, 0, 5, 14, 5, "Jund Midrange, Jund Initiative, WBRG Initiative"
Fry Guy, 22, 14, 115, 5.23, 0.56, 1, 3, 14, 6, "Gruul Monsters, Grixis Tinker Reanimator, Flash Hulk"
Yeti, 16, 2, 117, 7.31, 0.70, 2, 7, 13, 11, "Humans and Taxes, Medium Red"
Axelia, 24, 1, 120, 5.00, 0.51, 1, 4, 13, 3, "5C Superfriends"
hyunkim87, 18, 6, 95, 5.28, 0.56, 0, 3, 11, 3, "Naya Winota, WURG Seeker Walk, Dimir Ninjas"
Cyclopes8, 26, 12, 99, 3.81, 0.42, 0, 1, 10, 3, "Rakdos Midrange, Naya Initiative, Gruul Aggro"
Harju, 16, 8, 75, 4.69, 0.51, 1, 1, 9, 3, "Jeskai Midrange, Jeskai Vault, Grixis Welder"
Purukogi, 23, 10, 94, 4.09, 0.43, 2, 3, 8, 1, "Eggs, Jeskai Vault, Lotus Breach Storm"
WonkyWombat, 13, 3, 58, 4.46, 0.47, 0, 2, 6, 3, "Red Deck Wins, Esper Thoracle, Lotusless Breach Storm"
Vaaste, 18, 13, 61, 3.39, 0.38, 0, 0, 5, 1, "Atraxa and Taxes, Jeskai Midrange, Temur Control"
Cymbalman, 8, 4, 39, 4.88, 0.52, 0, 1, 5, 3, "Naya Winota, WURG Seeker Walk, Boros Death and Taxes"
JazzE, 13, 6, 64, 4.92, 0.52, 1, 2, 5, 3, "WUBG Midrange, Jeskai Midrange, WURG Omnath"
Shakashaka, 7, 5, 33, 4.71, 0.52, 0, 0, 5, 4, "Temur Moon, Rakdos Goblins, Naya Pod"
Yannic, 6, 3, 33, 5.50, 0.52, 0, 2, 4, 3, "WURG Omnath, Mono Blue Control, 4C Blink Pod"
Wilbur, 8, 3, 48, 6.00, 0.59, 2, 3, 4, 3, "Esper Reanimator, Esper Reanimator Thoracle, Esper Recurring Nightmare"
Tr33vs, 6, 3, 36, 6.00, 0.60, 1, 1, 3, 3, "Death and Taxes, Red Deck Wins, Gruul Monsters"
Funkyzeit, 6, 2, 24, 4.00, 0.44, 0, 0, 3, 2, "Boros Death and Taxes, Jund Initiative"
Calhove, 8, 5, 30, 3.75, 0.38, 0, 1, 3, 3, "Naya Initiative, Naya Pod, Gruul Aggro"
Rick, 15, 14, 46, 3.07, 0.34, 0, 0, 3, 1, "Jund Goblins, Dimir High Tide, DoomsDragon"
Paul Pilz, 3, 3, 18, 6.00, 0.67, 0, 0, 3, 3, "Eggs, Azorius Moon, Paradox Academy"
Delaelle, 5, 3, 21, 4.20, 0.47, 0, 0, 3, 2, "Lotusless Breach Storm, WURG Omnath, WURG Seeker Walk"
TherealEMT, 6, 4, 27, 4.50, 0.50, 0, 0, 3, 2, "5C Seeker Walk, Jeskai Midrange, Azorius Control"
Jamesses, 6, 5, 27, 4.50, 0.50, 0, 0, 3, 2, "Dredge, Flash Oath, Jeskai Welder"
BIRD | Jonas, 8, 3, 24, 3.00, 0.33, 0, 0, 3, 3, "Black Mold, Medium Green, Abzan Angels"
violetblight, 3, 3, 19, 6.33, 0.70, 0, 0, 3, 3, "Jeskai Welder, Grixis Midrange, Temur Lands Walks"
TicTaco, 8, 5, 33, 4.13, 0.44, 0, 1, 2, 1, "Pattern Rector, Grixis Welder, 4C Welder"
Hal, 5, 3, 15, 3.00, 0.33, 0, 0, 2, 2, "Mono Black Aggro, The Rock, Orzhov Control"
JadedTrekkie, 10, 5, 36, 3.60, 0.39, 0, 1, 2, 2, "Medium Red, Yawgmoth's Jacuzzi, Paradox Academy"
Sir Nikheizen, 6, 3, 18, 3.00, 0.33, 0, 0, 2, 1, "Simic Merfolk, Jund Aristocrats, Sultai Lands Control"
Violet Eventide, 6, 3, 24, 4.00, 0.42, 0, 1, 2, 2, "Jeskai Control, WURG Lands Midrange, 5C Lands Combo"
Mehall, 6, 2, 21, 3.50, 0.39, 0, 0, 2, 1, "Jeskai Vault, Selesnya Legends"
Bailite, 4, 2, 15, 3.75, 0.42, 0, 0, 2, 1, "Abzan Midrange, Abzan Lands"
Swinters, 3, 1, 15, 5.00, 0.50, 0, 1, 2, 2, "Naya Pod"
Oogablast, 4, 2, 18, 4.50, 0.50, 0, 0, 2, 2, "Grixis Midrange, Jeskai Vault"
Chirurgeon, 3, 1, 15, 5.00, 0.56, 0, 0, 2, 2, "Medium Boros"
Adonalsium, 3, 1, 16, 5.33, 0.59, 0, 0, 2, 2, "Medium Red"
UnusualThunder, 2, 1, 12, 6.00, 0.67, 0, 0, 2, 2, "WUBG Food"
Sam, 4, 1, 12, 3.00, 0.33, 0, 0, 1, 1, "Pattern Rector"
Raicune, 3, 3, 12, 4.00, 0.40, 0, 1, 1, 1, "Czech Midrange, WURG Seeker Walk, Esper Initiative"
Gabe Sorci, 1, 1, 6, 6.00, 0.67, 0, 0, 1, 1, "4C Pod"
Johann, 2, 2, 6, 3.00, 0.33, 0, 0, 1, 1, "Lotus Breach Storm, Temur Tempo"
Deggers, 3, 3, 9, 3.00, 0.33, 0, 0, 1, 1, "Blue Moon, Jeskai Control, WURG Omnath"
Andrew and Drew, 4, 2, 9, 2.25, 0.25, 0, 0, 1, 1, "Unknown, 4C Artifacts"
KannNicks, 1, 1, 9, 9.00, 0.60, 0, 1, 1, 1, "Flash Oath"
Dentro, 8, 4, 30, 3.75, 0.42, 1, 0, 1, 1, "Gruul Cradlehoof, Grixis Tempo, Gruul Ramp"
Robin Sorensen, 2, 2, 6, 3.00, 0.33, 0, 0, 1, 1, "Lotus Breach Storm, WUBG Seeker Initiative"
JeTheWeary, 1, 1, 9, 9.00, 0.60, 0, 1, 1, 1, "Aluren"
Cat_Island, 5, 2, 15, 3.00, 0.33, 0, 0, 1, 1, "Boros Equipment, Gruul Cradlehoof"
Praenomen, 2, 1, 9, 4.50, 0.50, 0, 0, 1, 1, "Death and Taxes"
Macintose, 1, 1, 6, 6.00, 0.67, 0, 0, 1, 1, "4C Initiative"
solemn_storm, 2, 2, 9, 4.50, 0.50, 0, 0, 1, 1, "Gruul Aggro, Jeskai Midrange"
Minstrel, 3, 2, 14, 4.67, 0.47, 0, 1, 1, 1, "UBRG Welder, WUBG Oath Control"
Broken myth, 1, 1, 6, 6.00, 0.67, 0, 0, 1, 1, "Death and Taxes"
Lance larsen, 2, 2, 6, 3.00, 0.33, 0, 0, 1, 1, "Paradox Academy, Boros Midrange"
Gerrimeister, 1, 1, 3, 3.00, 0.33, 0, 0, 0, 0, "Blue Moon"
Pickleplop, 2, 2, 3, 1.50, 0.17, 0, 0, 0, 0, "Abzan Lands, Jeskai Welder"
Ashtoreth, 2, 2, 3, 1.50, 0.17, 0, 0, 0, 0, "Esper Control, Esper Initiative"
Dynethor, 1, 1, 3, 3.00, 0.33, 0, 0, 0, 0, "Bant Enchantress"
Yucca, 3, 1, 6, 2.00, 0.22, 0, 0, 0, 0, "Death and Taxes"
Thunder_Farts, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "Jeskai Midrange"
Kaleb Gloriouswolfman, 1, 1, 3, 3.00, 0.33, 0, 0, 0, 0, "Orzhov Tokens"
Odin, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "4C Winota"
NotFreduardo, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "Esper Initiative"
Codypsizzle, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "Naya Initiative"
Cpt_camel, 1, 1, 1, 1.00, 0.11, 0, 0, 0, 0, "Grixis Reanimator"
Jingoistical, 2, 2, 4, 2.00, 0.22, 0, 0, 0, 0, "Eggs, Rakdos Goblins"
Sean barry, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "Dimir Discard"
Forceofwill, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "5C Legends"
