Explanation
Cell: rows winrate vs column
Example: C7: row 7 vs column C
Green: winrate >= .65
Yellow: winrate <= .35
,Jeskai Midrange,Jund Midrange,WURG Omnath,Rakdos Midrange,Death and Taxes,Boros Death and Taxes,Pattern Rector,Temur Control,WURG Seeker Walk,Naya Pod,Lotusless Breach Storm,Humans and Taxes,Boros Tokens,Dimir High Tide,5C Superfriends,Sultai Midrange,Jeskai Vault,Mono Black Aggro,Blue Moon,Esper Time Vault,Mono Blue Control,Flash Oath,Jund Initiative,DoomsDragon,Eggs,Naya Winota,WUBG Midrange,Abzan Lands,Zombies,Medium Red,Esper Control,Simic Merfolk,Czech Midrange,4C Pod,Azorius Control,Lotus Breach Storm,Grixis Welder,Esper Thoracle,Esper Initiative,Bant Enchantress,4C Welder,Unknown,Jeskai Control,Sultai Doomsday,Naya Initiative,Red Deck Bins,5C Seeker Walk,Bant Midrange,Dead Guy Dragons,Jeskai Welder,Grixis Thoracle,Rakdos Pyromancer,Jund Goblins,Grixis Tinker Reanimator,UBRG Thoracle,Death and Goblins,Red Deck Wins,WBRG Initiative,Black Mold,Temur Midrange,Temur Moon,Dimir Ninjas,Gruul Cradlehoof,Selesnya Legends,Gruul Aggro,Sultai Thoracle,WURG Lands Midrange,Grixis Tempo Doomsday,Esper Doomsday,Aluren,Yawgmoth's Jacuzzi,WURG Initiative,Abzan Midrange,Rakdos Goblins,Jeskai Breach,Paradox Academy,Academy Prison,Jund Aristocrats,Grixis Reanimator,Boros Equipment,Orzhov Tokens,The Rock,4C Winota,4C Initiative,Mardu Dead Guy Ale,4C Artifacts,WURG Tempo,Flash Hulk,WBRG Aristocrats,Gruul Monsters,Atraxa and Taxes,Grixis Midrange,Esper Dreadnaught Prison,Abzan Aristocrats,Orzhov Control,5C Lands Combo,Grixis Tempo,Medium Green,WUBG Seeker Initiative,Azorius Breach,WUBG Oath Control,Gruul Ramp,Mono Red Goblins,Medium Boros,UBRG Welder,Channel Mirror,Czech Scapeshift,Azorius Moon,Bant Seeker Walk,Esper Reanimator,Dimir Discard,4C Blink Pod,Dredge,Esper Reanimator Thoracle,5C Legends,Dimir Doomsday,Temur Lands Walks,Naya Enchantress,Temur Tempo,Sultai High Tide,WUBG Food,Golgari Hoof,Abzan Angels,WURG Pod,WUBR Welder,Selesnya Angels,Boros Midrange,WUBG Seeker Walk,Sultai Lands Control,Esper Recurring Nightmare,Mono Blue Shops,Orzhov Martyr Proc,Orzhov Humans and Taxes,BUGw Natural Order,5C Cascade,5C Blue Midrange,Jeskai Black,Orzhov Rector Control,4C Blood,WUBG Food Chain,Mono Black Midrange,Schmedium Red,WUBR Tempo,Abzan Lands Reanimator,Flying Men,Dimir Lotus Doomsday,Mardu Initiative,Temur Taking Turns,Big Red,Golgari Pox,Mono White Martyr Proc,Sultai Control,Tinker Lotus Doomsday,Abzan Enchantress
Jeskai Midrange,0.33,0.67,0.00,0.00,0.50,0.00,1.00,,0.50,1.00,,0.00,0.00,,,1.00,0.50,1.00,,,,0.00,,,1.00,0.00,1.00,0.00,1.00,0.00,,,1.00,0.00,0.00,1.00,1.00,0.00,,,,,0.00,,0.75,0.00,,,,,,,,,1.00,,0.50,,1.00,0.00,1.00,1.00,0.00,,1.00,,,,,,0.00,,1.00,,1.00,,,,0.00,1.00,1.00,,,,,1.00,,,,0.00,0.00,1.00,,,,,,,,,,,,,,0.00,0.00,,0.00,0.00,,,,,,,,,,,,,1.00,,,,1.00,1.00,,,,,,0.00,,1.00,,,,,,0.00,,0.00,,,,,0.00,0.00,,0.00,0.00,1.00
Jund Midrange,,0.67,0.60,1.00,0.50,1.00,0.67,,0.50,1.00,1.00,0.75,,,0.67,0.50,0.60,1.00,1.00,,1.00,,,,,0.75,0.00,,,1.00,,,0.50,,,,,,,,,,1.00,1.00,0.80,,,1.00,,0.00,0.50,1.00,,,,1.00,1.00,0.00,,,,1.00,1.00,1.00,,,,,,1.00,1.00,,,1.00,,,,0.00,0.50,,0.00,,,,,,,,,,0.00,0.00,0.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,
WURG Omnath,0.00,1.00,1.00,,0.50,,,,,,1.00,0.60,,,1.00,0.33,1.00,,,,,,,,,1.00,1.00,,,,,,1.00,,,,1.00,1.00,1.00,,,,,,0.50,,,,,,1.00,,1.00,,,,1.00,,0.00,,1.00,1.00,,0.00,,,,,,,,,1.00,,,,,,1.00,,,,,0.00,,,0.00,0.50,,1.00,,,,,,,1.00,,,,,,,1.00,,,,,,0.00,,,,1.00,,,,,1.00,,,,,,0.00,,,1.00,,,,,,,1.00,,1.00,,,1.00,,1.00,,,1.00,,,1.00,,,,1.00,,
Rakdos Midrange,0.25,0.50,1.00,,1.00,,,0.00,,,,,,,1.00,,1.00,,1.00,,,,,,1.00,0.00,1.00,1.00,,,,,1.00,,,,,,,,1.00,,0.40,,,,,,,,0.50,,,,,,0.00,,0.00,,1.00,,1.00,,1.00,,,,,,,,0.00,,,1.00,,1.00,1.00,,,,,,,,,,,1.00,1.00,0.50,,,,,,,,,1.00,,,1.00,1.00,1.00,,,,0.50,,1.00,,,,,,,,,1.00,,,,0.00,1.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,
Death and Taxes,0.33,,,,1.00,,,,,1.00,1.00,0.50,,,0.33,,1.00,,,,1.00,,1.00,,1.00,0.00,,,,1.00,,,,,,,,,,,,,0.00,,1.00,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,0.00,1.00,,1.00,,,,,1.00,1.00,,,,0.00,,,,0.33,,,,,0.00,1.00,,,,,1.00,,1.00,,,1.00,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Boros Death and Taxes,0.40,0.00,1.00,,,1.00,,,,,,0.00,,,0.50,0.00,,,,1.00,0.50,,0.00,0.00,,1.00,,,,,1.00,0.00,,,,1.00,,,,,,,0.00,0.00,,,,,1.00,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0.00,,,0.67,,,,,,,,,1.00,,0.00,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
Pattern Rector,0.50,0.00,0.00,0.00,,,1.00,,0.50,,0.00,0.00,,,0.50,,,,,,0.00,,,,,,,,,,,,,,1.00,0.00,,,,,,,0.50,1.00,,,,,,,,,,0.00,,,1.00,,,,,,,,1.00,,0.00,,,,,,,0.00,,,,,,0.00,,,1.00,,,0.00,,,,,1.00,,,,,,,,,,,,,1.00,,,,,,,,,1.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,1.00,,,,,
Temur Control,0.50,,0.50,1.00,0.50,,0.00,,,0.00,0.00,,,0.33,0.50,,,0.00,,,0.00,,,,,,0.67,1.00,,,,,,,,,,0.00,,,,,,,,,,,,,0.00,,,,,,,0.00,,,,,,,,,,,0.00,,,,1.00,,0.00,,,,,,,,,,,,,0.00,,0.00,0.00,,,,1.00,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,
WURG Seeker Walk,0.00,,1.00,1.00,0.00,,,,,,,1.00,,,0.50,,,,,,,,,,,,,,,,,,,,1.00,0.50,0.00,,,,,,0.00,,1.00,,,,,1.00,0.00,,1.00,1.00,,,,,1.00,,1.00,,1.00,1.00,,,1.00,1.00,,0.00,,,,,,,,,,,,1.00,,1.00,,,,,,0.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naya Pod,,1.00,,,,,,,1.00,1.00,,0.00,,,1.00,,1.00,,,,,,,,1.00,,,0.00,,0.00,,,1.00,,,,,1.00,,,,,0.00,,,,,,,,,,,,1.00,,1.00,,,,,,,,,,,,,,,,,1.00,,1.00,,,,,,,,,,0.00,,1.00,,,,1.00,,,,,,,,,,,,1.00,1.00,1.00,1.00,,,0.00,,,,,1.00,,,,,,,0.00,1.00,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,
